khadas-vim1/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Khadas-vim1_sid_edge_6.0.6.img.xz|1667139605|463M|
khadas-vim2/Kinetic_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Khadas-vim2_kinetic_edge_6.0.6.img.xz|1667139291|393M|
khadas-vim2/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Khadas-vim2_sid_edge_6.0.6.img.xz|1667140589|443M|
khadas-vim3/Kinetic_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Khadas-vim3_kinetic_edge_6.0.6.img.xz|1667140278|389M|
khadas-vim3/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Khadas-vim3_sid_edge_6.0.6.img.xz|1667140534|433M|
khadas-vim3l/Kinetic_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Khadas-vim3l_kinetic_edge_6.0.6.img.xz|1667140269|379M|
khadas-vim3l/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Khadas-vim3l_sid_edge_6.0.6.img.xz|1667140570|443M|
lafrite/Kinetic_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Lafrite_kinetic_edge_6.0.6.img.xz|1667140289|365M|
lafrite/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Lafrite_sid_edge_6.0.6.img.xz|1667140401|454M|
lepotato/Kinetic_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Lepotato_kinetic_edge_6.0.6.img.xz|1667139515|392M|
lepotato/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Lepotato_sid_edge_6.0.6.img.xz|1667140394|456M|
lime-a33/Kinetic_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Lime-a33_kinetic_edge_6.0.6.img.xz|1667139212|328M|
lime-a33/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Lime-a33_sid_edge_6.0.6.img.xz|1667139732|379M|
orangepi-r1plus-lts/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Orangepi-r1plus-lts_sid_edge_6.0.6.img.xz|1667134962|459M|
orangepi-r1plus/Kinetic_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Orangepi-r1plus_kinetic_edge_6.0.6.img.xz|1667134830|398M|
orangepi-r1plus/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Orangepi-r1plus_sid_edge_6.0.6.img.xz|1667134863|452M|
orangepi-rk3399/Kinetic_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Orangepi-rk3399_kinetic_edge_6.0.6.img.xz|1667134984|398M|
orangepi-rk3399/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Orangepi-rk3399_sid_edge_6.0.6.img.xz|1667135934|461M|
orangepi2/Kinetic_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Orangepi2_kinetic_edge_6.0.6.img.xz|1667137818|324M|
orangepi2/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Orangepi2_sid_edge_6.0.6.img.xz|1667138581|390M|
orangepi3-lts/Kinetic_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Orangepi3-lts_kinetic_edge_6.0.6.img.xz|1667136926|355M|
orangepi3-lts/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Orangepi3-lts_sid_edge_6.0.6.img.xz|1667137194|423M|
orangepi3/Kinetic_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Orangepi3_kinetic_edge_6.0.6.img.xz|1667136863|353M|
orangepi3/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Orangepi3_sid_edge_6.0.6.img.xz|1667137021|420M|
orangepi4-lts/Kinetic_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Orangepi4-lts_kinetic_edge_6.0.6.img.xz|1667136922|399M|
orangepi4-lts/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Orangepi4-lts_sid_edge_6.0.6.img.xz|1667137209|462M|
orangepi4/Kinetic_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Orangepi4_kinetic_edge_6.0.6.img.xz|1667137809|398M|
orangepi4/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Orangepi4_sid_edge_6.0.6.img.xz|1667137724|469M|
orangepilite2/Kinetic_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Orangepilite2_kinetic_edge_6.0.6.img.xz|1667138888|354M|
orangepilite2/Kinetic_edge_xfce_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Orangepilite2_kinetic_edge_6.0.6_xfce_desktop.img.xz|1667136975|1371M|
orangepilite2/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Orangepilite2_sid_edge_6.0.6.img.xz|1667138995|422M|
orangepilite2/Sid_edge_xfce_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Orangepilite2_sid_edge_6.0.6_xfce_desktop.img.xz|1667135194|1135M|
orangepilite/Kinetic_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Orangepilite_kinetic_edge_6.0.6.img.xz|1667139202|324M|
orangepilite/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Orangepilite_sid_edge_6.0.6.img.xz|1667140218|389M|
orangepione/Kinetic_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Orangepione_kinetic_edge_6.0.6.img.xz|1667140490|324M|
orangepione/Kinetic_edge_xfce_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Orangepione_kinetic_edge_6.0.6_xfce_desktop.img.xz|1667138397|1228M|
orangepione/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Orangepione_sid_edge_6.0.6.img.xz|1667141062|389M|
orangepione/Sid_edge_xfce_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Orangepione_sid_edge_6.0.6_xfce_desktop.img.xz|1667136584|1030M|
orangepioneplus/Kinetic_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Orangepioneplus_kinetic_edge_6.0.6.img.xz|1667139524|353M|
orangepioneplus/Kinetic_edge_xfce_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Orangepioneplus_kinetic_edge_6.0.6_xfce_desktop.img.xz|1667136117|1373M|
orangepioneplus/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Orangepioneplus_sid_edge_6.0.6.img.xz|1667139628|429M|
orangepioneplus/Sid_edge_xfce_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Orangepioneplus_sid_edge_6.0.6_xfce_desktop.img.xz|1667135901|1136M|
orangepipc2/Kinetic_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Orangepipc2_kinetic_edge_6.0.6.img.xz|1667140560|354M|
orangepipc2/Kinetic_edge_xfce_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Orangepipc2_kinetic_edge_6.0.6_xfce_desktop.img.xz|1667136073|1369M|
orangepipc2/Sid_edge_xfce_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Orangepipc2_sid_edge_6.0.6_xfce_desktop.img.xz|1667135223|1136M|
orangepipc/Kinetic_edge_xfce_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Orangepipc_kinetic_edge_6.0.6_xfce_desktop.img.xz|1667138286|1214M|
orangepipc/Sid_edge_xfce_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Orangepipc_sid_edge_6.0.6_xfce_desktop.img.xz|1667136783|1049M|
orangepipcplus/Kinetic_edge_xfce_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Orangepipcplus_kinetic_edge_6.0.6_xfce_desktop.img.xz|1667137469|1235M|
orangepipcplus/Sid_edge_xfce_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Orangepipcplus_sid_edge_6.0.6_xfce_desktop.img.xz|1667136907|1037M|
orangepiplus/Sid_edge_xfce_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Orangepiplus_sid_edge_6.0.6_xfce_desktop.img.xz|1667140379|1045M|
orangepiprime/Sid_edge_xfce_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Orangepiprime_sid_edge_6.0.6_xfce_desktop.img.xz|1667139963|1133M|
orangepiwin/Sid_edge_xfce_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Orangepiwin_sid_edge_6.0.6_xfce_desktop.img.xz|1667139624|1125M|
